,Lon,Lat,Name,Location,State
0,-88.01165,30.43745,Mobile Bay Lighthouse, Mobile Bay, AL
1,-88.0239,30.2278,Mobile Point Light, Fort Morgan, AL
2,-88.0534,30.1966,Sand Island Lighthouse, Sand Island, AL
