,Lat,Lon,Name,Location,State
0,-87.40942,41.64624,Buffington Harbor Breakwater Light, Buffington Harbor,IN
1,-87.4933,41.7267,Calumet Harbor Light, Calumet Harbor,IN
2,-87.32018,41.63136,Gary Harbor Breakwater Light, Gary,IN
3,-87.4414,41.6814,Indiana Harbor East Breakwater Light, Indiana Harbor,IN
4,-86.91169,41.728979,Michigan City East Pierhead Light, Michigan City,IN
5,-86.905997,41.722801,Old Michigan City Lighthouse, Michigan City,IN
6,-86.913971,41.72987,Breakwater Light West Pierhead,Michigan City,
