,Lat,Lon,Name,Location,State
0,-72.0686,43.37222,Burkehaven Light, Lake Sunapee,  NH
1,-72.0421,43.411,Herrick Cove Light, Lake Sunapee,  NH
2,-70.6237,42.9676,Isles of Shoals (White Island) Light, White Island,  NH
3,-72.0598,43.3919,Loon Island Light, Lake Sunapee,  NH
4,-70.7083,43.0708,Portsmouth Harbor Lighthouse, New Castle Island,  NH
