,Lon,Lat,Name,Location,State
0,-87.531,41.786,68th Street Crib(Dunne Crib) Light, Chicago, IL
1,-87.5878,41.8906,Chicago Harbor Lighthouse, Chicago,  IL
2,-87.6017,41.8882,Chicago Harbor Southeast Guidewall Light, Chicago,  IL
3,-87.545,41.8734,Four Mile Crib Lighthouse, Chicago, IL
4,-87.6758,42.0639,Grosse Point Lighthouse, Evanston,  IL
5,-87.8133,42.36,Northern Waukegan Harbor Light, Waukegan,  IL
6,-87.5717,41.9167,William E. Denver Crib Light, Chicago, IL
7,-87.5917,41.9667,Wilson Avenue Crib Light, Montrose Harbor, IL
