,Lon,Lat,Name,Location,State
0,-92.088,46.7806,Duluth Harbor North Breakwater Light, Duluth,  MN
1,-92.0919,46.7782,Duluth Harbor South Breakwater Inner Light, Duluth,  MN
2,-92.0869,46.7795,Duluth Harbor South Breakwater Lighthouse, Duluth,  Outer MN
3,-90.3383,47.745,Grand Marais Harbor Light, Grand Maraie,   MN
4,-90.340305,47.744396,Grand Marais Breakwater Light, Grand Marais,  MN
5,-92.0227,46.7094,Minnesota Point Light(Ruins), Duluth,  MN
6,-91.3671,47.19985,Split Rock Lighthouse, Split Rock State Park,  MN
7,-91.6695,47.01038,Two Harbors Breakwater Light, Two Harbors,  MN
8,-91.6637,47.0138,Two Harbors Lighthouse, Two Harbors,  MN
