,Lon,Lat,Name,Location,State
0,-80.880052,32.022681,Cockspur Island Lighthouse, Cockspur Island, GA
1,-81.4168,30.974,Little Cumberland Island Lighthouse, Little Cumberland Island, GA
2,-81.3933,31.1334,Saint Simons Lighthouse, Saint Simons Island, GA
3,-81.2773,31.3895,Sapelo Island Front Range Light, Sapelo Island, GA
4,-81.2852,31.392,Sapelo Island Lighthouse, Sapelo Island, GA
5,-81.0845,32.0794,Savannah Harbor Light Savannah, GA,
6,-80.8509,32.0273,Tybee Island Lighthouse, Tybee Island, GA
